Genotype,Age,Time,Observation_within_time,Source_sheet,Source_row,THC_recorded,THC_converted,MOR_converted,MOR_ratio_stored,PHA_recorded,PHA_converted,PHA_ratio_stored,ROS_recorded,MOR_ratio_same_animal,PHA_ratio_same_animal
GG,1-year,168,3,1龄,82,348.11,70.31822000000001,9.8226,0.1396878362393132,2.33,0.26795,0.0038105344532327,88636.3,0.1396878362393132,0.0038105344532327
GG,1-year,168,4,1龄,83,320.34,64.70867999999999,7.26444,0.1122637643048815,3.67,0.4220499999999999,0.0065223089081712,74219.9,0.1122637643048815,0.0065223089081712
GG,1-year,168,5,1龄,84,255.72,51.65544,10.608,0.2053607519362917,,,,69422.6,0.2053607519362917,
DD,1-year,168,1,1龄,85,222.12,44.86824,8.533320000000002,0.1901861985226075,82.34,9.4691,0.2110423765229034,156558.8,0.1901861985226075,0.2110423765229034
DD,1-year,168,2,1龄,86,204.93,41.39586,9.72876,0.2350177046690176,78.24,8.997599999999998,0.2173550688402173,140163.5,0.2350177046690176,0.2173550688402173
DD,1-year,168,3,1龄,87,185.24,37.41848,7.57044,0.2023182128189066,74.68,8.5882,0.229517607342682,160404.0,0.2023182128189066,0.229517607342682
DD,1-year,168,4,1龄,88,225.72,45.59544,9.8634,0.2163242640053479,84.11,9.67265,0.2121407316170213,118565.9,0.2163242640053479,0.2121407316170213
DD,1-year,168,5,1龄,89,214.27,43.28254,10.47948,0.2421179533363799,33.51,3.85365,0.0890347470365648,156057.4,0.2421179533363799,0.0890347470365648
GD,1-year,168,1,1龄,90,2491.0,503.182,15.24492,0.0302970297029702,250.79,28.840849999999996,0.0573169350254977,26521.2,0.0302970297029702,0.0573169350254977
GD,1-year,168,2,1龄,91,2108.73,425.96346000000005,16.9728,0.0398456712695497,225.81,25.96815,0.0609633276995167,32428.7,0.0398456712695497,0.0609633276995167
GD,1-year,168,3,1龄,92,2261.31,456.78462,18.25188,0.0399572997882459,197.88,22.7562,0.0498182272424145,29472.3,0.0399572997882459,0.0498182272424145
